prompt,image_path,clip_score,human_score
A crystal-clear lake under the northern lights,clip_feedback_dataset/A_crystal-clear_lake_under_the_0.png,0.2886303663253784,0.8
A crystal-clear lake under the northern lights,clip_feedback_dataset/A_crystal-clear_lake_under_the_1.png,0.2884664535522461,0.82
A crystal-clear lake under the northern lights,clip_feedback_dataset/A_crystal-clear_lake_under_the_2.png,0.2914332151412964,0.83
A lush rainforest filled with glowing mushrooms,clip_feedback_dataset/A_lush_rainforest_filled_with__0.png,0.3534048199653625,0.5
A lush rainforest filled with glowing mushrooms,clip_feedback_dataset/A_lush_rainforest_filled_with__1.png,0.3663323223590851,0.7
A lush rainforest filled with glowing mushrooms,clip_feedback_dataset/A_lush_rainforest_filled_with__2.png,0.3412261009216308,0.6
A desert landscape with floating boulders,clip_feedback_dataset/A_desert_landscape_with_floati_0.png,0.3519379496574402,0.5
A desert landscape with floating boulders,clip_feedback_dataset/A_desert_landscape_with_floati_1.png,0.3491433262825012,0.48
A desert landscape with floating boulders,clip_feedback_dataset/A_desert_landscape_with_floati_2.png,0.3620835542678833,0.51
A snow-covered forest at dawn,clip_feedback_dataset/A_snow-covered_forest_at_dawn_0.png,0.3201196789741516,0.85
A snow-covered forest at dawn,clip_feedback_dataset/A_snow-covered_forest_at_dawn_1.png,0.3350240588188171,0.86
A snow-covered forest at dawn,clip_feedback_dataset/A_snow-covered_forest_at_dawn_2.png,0.3563939929008484,0.83
An underwater city with glowing coral towers,clip_feedback_dataset/An_underwater_city_with_glowin_0.png,0.3675554990768432,0.88
An underwater city with glowing coral towers,clip_feedback_dataset/An_underwater_city_with_glowin_1.png,0.3459135890007019,0.85
An underwater city with glowing coral towers,clip_feedback_dataset/An_underwater_city_with_glowin_2.png,0.2846840620040893,0.7
A robot playing chess with a human in a neon-lit room,clip_feedback_dataset/A_robot_playing_chess_with_a_h_0.png,0.3053864240646362,0.4
A robot playing chess with a human in a neon-lit room,clip_feedback_dataset/A_robot_playing_chess_with_a_h_1.png,0.3360970616340637,0.3
A robot playing chess with a human in a neon-lit room,clip_feedback_dataset/A_robot_playing_chess_with_a_h_2.png,0.2877354919910431,0.42
